               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.021628,            0.016283,            0.024454,             0.79851,             0.71554,             0.79676,              0.6748,            0.011173,           0.0049281,            0.007919,             0.00736,             0.00736,             0.00736
                  82,            0.021596,            0.016183,            0.024689,             0.80556,             0.70956,             0.79755,             0.67562,            0.011164,           0.0049241,           0.0079056,            0.007327,            0.007327,            0.007327
                  83,            0.021635,            0.016242,            0.024465,              0.8003,             0.71349,             0.79836,             0.67664,            0.011157,             0.00492,           0.0078969,            0.007294,            0.007294,            0.007294
                  84,             0.02152,            0.016139,            0.024611,             0.78653,             0.72614,             0.79938,             0.67716,            0.011152,           0.0049155,           0.0078906,            0.007261,            0.007261,            0.007261
                  85,            0.021701,            0.016205,            0.024531,             0.78956,             0.72374,             0.80055,             0.67838,            0.011145,           0.0049115,           0.0078781,            0.007228,            0.007228,            0.007228
                  86,            0.021624,            0.016001,             0.02438,             0.78597,             0.72579,             0.80151,             0.67907,            0.011139,           0.0049083,           0.0078674,            0.007195,            0.007195,            0.007195
                  87,            0.021657,            0.016189,            0.024589,             0.78536,             0.72579,             0.80224,             0.67932,            0.011135,           0.0049044,           0.0078606,            0.007162,            0.007162,            0.007162
                  88,             0.02159,            0.016103,            0.024454,             0.78655,             0.72489,              0.8031,             0.68044,            0.011128,           0.0049004,           0.0078451,            0.007129,            0.007129,            0.007129
                  89,            0.021537,            0.016051,            0.024486,              0.7923,              0.7224,             0.80483,             0.68213,            0.011123,           0.0048964,           0.0078282,            0.007096,            0.007096,            0.007096
                  90,            0.021548,            0.016117,            0.024459,             0.79745,             0.71879,             0.80548,             0.68276,            0.011118,           0.0048917,           0.0078111,            0.007063,            0.007063,            0.007063
                  91,            0.021404,            0.016147,            0.024143,             0.78425,             0.72996,             0.80604,             0.68346,            0.011106,           0.0048872,           0.0077888,             0.00703,             0.00703,             0.00703
                  92,            0.021361,            0.015942,            0.024037,             0.78703,             0.73003,             0.80657,              0.6838,            0.011097,           0.0048821,           0.0077758,            0.006997,            0.006997,            0.006997
